order_id,order_date,customer_name,email,country,sku,qty,unit_price,channel,total,email_valid
1001,2025-07-31,John  Doe,john.doe@example.com,USA,SKU-001,2.0,19.99,Website,39.98,True
1002,2025-07-31,Jane Smith,jane.Smith@example.com,USA,SKU-002,1.0,12.5,Marketplace,12.5,True
1003,2025-07-30,Ahmed Hassan,ahmed@@example.com,Pakistan,SKU-001,3.0,19.0,Website,57.0,False
1004,2025-07-29,Emily Chen,emily.chen@example.com,Pakistan,SKU-003,,5.0,Website,,True
1005,2025-07-28,Michael O'Brien,michael.obrien@ho-exampde.com,Pakistan,SKU-002,2.0,1250.0,Marketplace,2500.0,True
1006,2025-07-27,Ali Raza,ali.raza@example.com,UAE,SKU-004,1.0,7.5,Website,7.5,True
1007,2025-07-27,John  Doe,john.doe@example.com,USA,SKU-001,2.0,19.99,Website,39.98,True
1008,2025-07-26,Sara Khan,sara.khan@example,USA,SKU-003,5.0,5.0,Marketplace,25.0,False
1009,2025-07-25,Faizan Ali,faizan.ali@example.com,Pakistan,SKU-005,1.0,3.25,Website,3.25,True
1010,2025-07-24,Nida Abbas,nida.abbas@example.com,Pakistan,SKU-001,1.0,19.99,Website,19.99,True
1011,2025-07-23,Anil Kumar,anil.kumar@example.com,India,SKU-006,4.0,15.0,Marketplace,60.0,True
1012,2025-07-22,Sonia Patel,sonia.patel@example.com,India,SKU-002,3.0,12.5,Website,37.5,True
1013,2025-07-21,Usman Tariq,usman.tariq@example.com,Pakistan,SKU-003,2.0,5.0,Website,10.0,True
1014,2025-07-20,John Doe,john.doe@example.com,USA,SKU-007,0.0,0.0,Website,0.0,True
1015,2025-07-19,Jane Smith,jane.smith@example.com,USA,SKU-001,2.0,19.99,Marketplace,39.98,True
1016,2025-07-18,Ayesha Noor,ayesha.noor@example.com,Pakistan,SKU-002,1.0,12.5,Website,12.5,True
1017,2025-07-17,Omar  Siddiqui,omar.siddiqui@example.com,USA,SKU-004,2.0,7.5,Website,15.0,True
1018,2025-07-16,Laiba Zafar,laiba.zafar@example.com,UAE,SKU-004,1.0,7.5,Marketplace,7.5,True
1019,2025-01-13,Hassan Ali,hassan.ali@example.com,Pakistan,SKU-003,2.0,5.0,Website,10.0,True
