order_id,order_date,customer_name,email,country,sku,qty,unit_price,channel,total,email_valid
22235,2025-12-09,Noah Ali,noah.ali@example.com,Pakistan,SKU-010,4.0,28.36,Website,113.44,True
24506,2025-12-09,Bilal Khan,bilal.khan@eml.com,Pakistan,SKU-001,2.0,19.66,Website,39.32,True
11061,2025-12-09,Rahul Ali,rahul.ali@marketplace.net,Pakistan,SKU-001,5.0,,Website,,True
19363,2025-12-09,Liam Yadav,liam.yadav@shop.com,Pakistan,SKU-005,3.0,3.14,Website,9.42,True
1454,2025-12-09,Sonia Smith,sonia.smith@mail.com,Pakistan,SKU-004,2.0,7.72,Marketplace,15.44,True
22659,2025-12-09,Faizan Khan,faizan.khan@example.com,Pakistan,SKU-009,5.0,,Website,,True
21720,2025-12-09,Usman Yadav,USMAN.YADAV@MARKETPLACE.NET,Pakistan,SKU-009,5.0,9.37,Marketplace,46.85,True
5627,2025-12-09,Ali Williams,ali.williams@mail.com,Pakistan,SKU-009,5.0,,Website,,True
4145,2025-12-09,Arjun Sharma,arjun.sharma@example.com,Pakistan,SKU-002,1.0,,Website,,True
4878,2025-12-09,Olivia Siddiqui,olivia.siddiqui@hotmail.com,Pakistan,SKU-005,4.0,3.06,Marketplace,12.24,True
24091,2025-12-09,Noah Siddiqui,noah.siddiqui@eml.com,Pakistan,SKU-001,4.0,18.2,Marketplace,72.8,True
10035,2025-12-09,Rahul Ahmad,rahul.ahmad@hotmail.com,Pakistan,SKU-008,4.0,21.71,Marketplace,86.84,True
6918,2025-12-09,Hassan Yadav,hassan.yadav@shop.com,Pakistan,SKU-002,2.0,12.51,Website,25.02,True
5811,2025-12-09,Arjun  Williams,arjun.williams@mail.com,Pakistan,SKU-005,3.0,3.3,Marketplace,9.9,True
27332,2025-12-09,Faizan Hassan,faizan.hassan@shop.com,Pakistan,SKU-006,4.0,14.01,Website,56.04,True
9622,2025-12-09,Sophia O'Brien,sophia.obrien@mail.com,Pakistan,SKU-009,3.0,10.71,Marketplace,32.13,True
28009,2025-12-09,Zain Tariq,zain.tariq@eml.com,Pakistan,SKU-009,1.0,10.05,Website,10.05,True
6492,2025-12-09,Bilal Akram,bilal.akram@marketplace.net,Pakistan,SKU-008,2.0,24.19,Website,48.38,True
6948,2025-12-09,Meera Sharma,meera.sharma@example.com,Pakistan,SKU-004,5.0,7.16,Marketplace,35.8,True
15414,2025-12-09,Olivia Brown,olivia.brown@example.com,Pakistan,SKU-009,1.0,10.84,Marketplace,10.84,True
3148,2025-12-09,Jane Patel,jane.patel@hotmail.com,Pakistan,SKU-010,3.0,28.21,Marketplace,84.63,True
13596,2025-12-09,John  Davis,john.davis@mail.com,Pakistan,SKU-008,3.0,20.3,Marketplace,60.9,True
19857,2025-12-09,Noah Hassan,noah.hassan@mail.com,Pakistan,SKU-003,3.0,5.22,Marketplace,15.66,True
22433,2025-12-09,Noor Johnson,noor.johnson@shop.com,Pakistan,SKU-001,4.0,18.11,Marketplace,72.44,True
18220,2025-12-09,Sonia Ali,sonia.ali @ example.com,Pakistan,SKU-005,2.0,3.15,Website,6.3,False
16502,2025-12-09,Huda Smith,huda.smith@shop.com,Pakistan,SKU-009,2.0,10.5,Marketplace,21.0,True
10271,2025-12-09,Hassan Gupta,hassan.gupta@eml.com,Pakistan,SKU-009,2.0,9.28,Marketplace,18.56,True
28581,2025-12-09,Nida Kumar,nida.kumar@mail.com,Pakistan,SKU-002,4.0,11.76,Website,47.04,True
16370,2025-12-09,Nida Iqbal,nida@example,Pakistan,SKU-010,4.0,,Marketplace,,False
13396,2025-12-09,Amna Patel,amna.patel@hotmail.com,Pakistan,SKU-008,3.0,21.2,Marketplace,63.6,True
11838,2025-12-09,Nida Chen,nida.chen@mail.com,Pakistan,SKU-003,2.0,5.33,Website,10.66,True
25576,2025-12-09,Ayesha Gupta,ayesha.gupta@example.com,Pakistan,SKU-008,,,Marketplace,,True
15623,2025-12-09,Laiba Iqbal,laiba.iqbal@marketplace.net,Pakistan,SKU-003,1.0,5.37,Website,5.37,True
10670,2025-12-09,Nida Johnson,nida.johnson@mail.com,Pakistan,SKU-007,1.0,0.0,Website,0.0,True
18974,2025-12-09,Sara Ali,sara.ali@shop.com,Pakistan,SKU-009,4.0,10.32,Website,41.28,True
20302,2025-12-09,Zain Siddiqui,zain.siddiqui@shop.com,Pakistan,SKU-005,1.0,3.14,Marketplace,3.14,True
28241,2025-12-09,Jane O'Brien,jane.obrien@eml.com,Pakistan,SKU-009,3.0,,Marketplace,,True
