order_id,email,country,sku,qty,unit_price,total
1113,faizan.johnson @ eml.com,UAE,SKU-009,1.0,10.84,10.84
1115,amna@example,India,SKU-002,1.0,12.74,12.74
1119,olivia@example,Pakistan,SKU-003,3.0,4.66,13.98
1135,arjun.akram @ shop.com,USA,SKU-005,4.0,3.18,12.72
1138,meera.zafar@@shop.com,Pakistan,SKU-003,3.0,5.3,15.9
1148,ahmed.ali @ hotmail.com,USA,SKU-006,4.0,14.36,57.44
1167,amna@example,UAE,SKU-009,1.0,9.11,9.11
1170,michael.iqbal @ example.com,USA,SKU-006,5.0,13.68,68.4
1174,ahmed@example,USA,SKU-005,4.0,3.24,12.96
1175,rahul@example,Pakistan,SKU-010,0.0,28.22,0.0
1193,sophia.hassan @ hotmail.com,India,SKU-006,3.0,15.14,45.42
1194,ali@example,Pakistan,SKU-001,1.0,19.25,19.25
1201,emily.khan@@marketplace.net,India,SKU-010,5.0,27.77,138.85
1204,rahul@example,USA,SKU-002,0.0,,
1210,sara@example,UAE,SKU-006,5.0,14.87,74.35
1225,jane.ahmad@@hotmail.com,Pakistan,SKU-001,5.0,18.28,91.4
1242,sophia@example,Pakistan,SKU-004,3.0,7.66,22.98
1244,priya.obrien @ example.com,Pakistan,SKU-008,3.0,20.25,60.75
1253,laiba.patel @ hotmail.com,Pakistan,SKU-002,2.0,13.57,27.14
1259,amna.singh @ eml.com,USA,SKU-005,3.0,3.28,9.84
1273,jane.kumar @ mail.com,UAE,SKU-003,2.0,5.0,10.0
1284,olivia@example,India,SKU-007,4.0,0.0,0.0
1305,liam@example,Pakistan,SKU-004,4.0,7.51,30.04
1307,omar.khan@@hotmail.com,USA,SKU-003,1.0,4.72,4.72
1310,anil@example,UAE,SKU-010,3.0,31.35,94.05
1333,ali.khan @ hotmail.com,Pakistan,SKU-009,5.0,10.87,54.35
1389,meera.tariq@@mail.com,Pakistan,SKU-006,3.0,16.2,48.6
1394,ahmed.brown @ eml.com,UAE,SKU-004,2.0,7.04,14.08
1404,bilal.miller@@shop.com,UAE,SKU-002,4.0,11.31,45.24
1406,rahul.johnson@@example.com,UAE,SKU-007,4.0,0.0,0.0
1417,huda.williams @ example.com,Pakistan,SKU-006,4.0,15.68,62.72
1420,zain@example,USA,SKU-001,1.0,18.57,18.57
1437,rahul.hassan @ marketplace.net,India,SKU-008,1.0,23.42,23.42
1466,sara@example,UAE,SKU-001,2.0,18.62,37.24
1480,huda.davis @ mail.com,Pakistan,SKU-010,3.0,29.21,87.63
1490,usman.chen@@mail.com,India,SKU-005,4.0,3.19,12.76
1493,ahmed.siddiqui@@example.com,Pakistan,SKU-007,0.0,0.0,0.0
1497,hassan@example,Pakistan,SKU-008,3.0,21.81,65.43
1502,nida.ahmad@@eml.com,USA,SKU-007,1.0,0.0,0.0
1525,rahul.williams@@example.com,India,SKU-010,4.0,31.02,124.08
1528,nida@example,Pakistan,SKU-009,4.0,9.22,36.88
1536,arjun@example,Pakistan,SKU-005,4.0,3.42,13.68
1537,bilal.abbas@@eml.com,Pakistan,SKU-002,,12.89,
1563,omar@example,Pakistan,SKU-010,4.0,,
1574,sara.raza @ hotmail.com,Pakistan,SKU-007,5.0,0.0,0.0
1582,john.tariq @ eml.com,Pakistan,SKU-008,5.0,23.82,119.1
1583,ali.patel@@mail.com,Pakistan,SKU-002,1.0,12.94,12.94
1610,john@example,USA,SKU-004,2.0,7.64,15.28
1618,anil.doe @ example.com,UAE,SKU-007,3.0,0.0,0.0
1619,emily@example,USA,SKU-004,4.0,7.41,29.64
1626,rahul.obrien @ marketplace.net,UAE,SKU-006,5.0,15.8,79.0
1629,bilal@example,Pakistan,SKU-005,1.0,3.1,3.1
1636,olivia.williams@@hotmail.com,India,SKU-009,5.0,,
1637,ali@example,India,SKU-004,1.0,7.59,7.59
1657,faizan@example,UAE,SKU-006,4.0,14.34,57.36
1681,amna@example,USA,SKU-005,,3.16,
1687,rahul@example,UAE,SKU-001,2.0,,
1690,sophia@example,USA,SKU-007,2.0,0.0,0.0
1705,nida.miller@@eml.com,India,SKU-003,3.0,4.61,13.83
1709,rahul.tariq@@example.com,UAE,SKU-001,2.0,19.85,39.7
1721,noah.sharma @ marketplace.net,UAE,SKU-005,2.0,3.44,6.88
1754,nida@example,India,SKU-007,4.0,0.0,0.0
1761,omar.hassan@@mail.com,India,SKU-006,4.0,16.19,64.76
1781,ava@example,Pakistan,SKU-006,2.0,16.01,32.02
1786,anil.patel @ example.com,USA,SKU-004,4.0,7.64,30.56
1808,noah.ali @ eml.com,Pakistan,SKU-005,4.0,3.31,13.24
1814,sonia.obrien@@marketplace.net,UAE,SKU-007,1.0,0.0,0.0
1828,amna.gupta@@shop.com,India,SKU-007,2.0,0.0,0.0
1831,huda.yadav@@hotmail.com,Pakistan,SKU-001,4.0,21.3,85.2
1840,sara.ali @ mail.com,India,SKU-004,3.0,,
1874,olivia.williams @ eml.com,UAE,SKU-010,3.0,28.44,85.32
1880,liam.ali @ hotmail.com,Pakistan,SKU-006,2.0,15.77,31.54
1893,noah@example,USA,SKU-009,1.0,10.6,10.6
1899,bilal.doe @ hotmail.com,Pakistan,SKU-001,3.0,21.93,65.79
1913,bilal.khan @ hotmail.com,USA,SKU-002,1.0,13.55,13.55
1922,olivia.zafar @ hotmail.com,USA,SKU-001,2.0,21.66,43.32
1947,arjun.davis@@hotmail.com,USA,SKU-002,3.0,12.39,37.17
1956,sara.ahmad@@mail.com,USA,SKU-005,2.0,3.46,6.92
1963,huda@example,Pakistan,SKU-009,1.0,9.12,9.12
1965,anil@example,USA,SKU-002,3.0,12.71,38.13
1969,ahmed@example,Pakistan,SKU-007,3.0,,
1997,noor@example,India,SKU-005,3.0,2.99,8.97
1999,omar.ali @ shop.com,Pakistan,SKU-008,4.0,23.88,95.52
2000,sonia.raza @ example.com,USA,SKU-001,4.0,19.96,79.84
2002,sara.williams @ marketplace.net,India,SKU-005,5.0,2.97,14.85
2003,noor@example,Pakistan,SKU-003,4.0,,
2011,amna@example,Pakistan,SKU-004,4.0,6.82,27.28
2027,amna@example,Pakistan,SKU-001,4.0,18.52,74.08
2032,olivia.iqbal@@marketplace.net,India,SKU-002,3.0,11.88,35.64
2033,meera.akram@@shop.com,Pakistan,SKU-003,3.0,5.22,15.66
2050,sophia@example,Pakistan,SKU-001,2.0,19.63,39.26
2056,bilal@example,UAE,SKU-001,3.0,18.95,56.85
2080,amna.akram@@shop.com,India,SKU-009,2.0,9.39,18.78
2098,noor.chen@@shop.com,UAE,SKU-008,4.0,,
2101,noor@example,India,SKU-005,2.0,3.38,6.76
