 order_id ,date,Product,qty,unit_price,TOTAL ,customer_name
ORD99965,2024-09-08,Widget B,10,21.99,219,Hassan Chen  
ORD34856,"Aug 18, 2024",Service Plan,9, 49.99 ,449,Fatima Khan
ORD30630,"Oct 06, 2024",Gadget Y,5,$5.49,$28.82,Maria Smith
ORD54591,09-Jul-24,Gadget X,7, 7.00 ,51,Sara Reyes
ORD17414,26/08/2024,Widget B,1,"19,99",19.99,Ayesha Ahmed
ORD64225,05/06/2024,GADGET X,10,$6.30,63.00,Ali Patel
ORD85845,08-09-2024,Gadget X,4,7.00,28.00,Zain Reyes
ORD35799,22/11/2024,Gadget Y, 8 ,"4,94",$39.53,Sara Ahmed
ORD39895,24-Jun-24,Widget B,8,17.99,143.93,Ali Patel
ORD31315,"Sep 13, 2024",Gadget X,8,$6.30,"50,40",Zain Reyes
ORD55459,03-Jul-24,Gadget Y,4,$5.49,21,Hassan Hussain
ORD26811,11-Nov-24,GADGET X,4, 7.00 , 33.60 ,Ali Hussain
ORD54093,02/09/2024,Widget B,9,17.99,194,Omar Reyes
ORD15801,10-15-2024,Widget B,9,"17,99", 161.92 ,Fatima Ahmed
ORD92020,29/09/2024,Gadget X,4,7, 28.00 ,Ayesha Ahmed
ORD27860,09-10-2024,Widget B,2,19.99,"39,98",Ayesha Khan
ORD60815,06-21-2024,Gadget X,5,"7,00","42,00",John Lee
ORD90259,01/10/2024,Widget A,2,"12,50",25,Hassan Patel
ORD13734,06-24-2024,Widget A,1,$12.50, 12.50 ,Noor Reyes
ORD56654,26-Dec-24,SERVICE PLAN,7, 49.99 ,349,Zain Iqbal
ORD27148,30/06/2024,Gadget X,10,6,$66.15,Zain Smith
ORD15902,24-Jul-24,Widget B,2,"19,99",37.98,Fatima Khan
ORD25421,08-19-2024,Service Plan,4,54,219,John Khan
ORD60462,"Sep 14, 2024",Gadget X,7,$7.00, 58.80 ,Hassan Ahmed
ORD94543,16/10/2024,Widget B,2, 17.99 , 35.98 ,Hassan Reyes
ORD67719,05/07/2024,Gadget Y,5,5.49,"27,45",Noor Iqbal
ORD14808,11-Sep-24,Gadget Y,7,"5,49",38.43,Hassan Lee
ORD36946,27-Aug-24,Service Plan,5,44.99, 224.95 ,John Iqbal
ORD44260,"Jul 17, 2024",Widget A,1, 13.75 ,13,Ali Garcia
ORD39559,12-20-2024,Gadget Y,5, 4.94 ,"29,65",Zain Hussain
ORD19601,2024-11-07,Widget B,8,$17.99,143,Ayesha Iqbal
ORD74076,"Sep 11, 2024",GADGET Y,7,"4,94","34,59",Zain Iqbal
ORD50448,23/06/2024,Gadget Y, 5 , 4.94 , 25.94 ,Zain Garcia
ORD27075,"Jul 20, 2024",WIDGET B,10,17.99,215.89,Ali Ahmed
ORD23928,25/08/2024,Gadget X,9,$7.00,"63,00",Fatima Patel
ORD86680,02-Nov-24,Widget A,2,12,25,John Reyes  
ORD92423,"Dec 22, 2024",Service Plan,10,$49.99,499.90,Omar Reyes
ORD70527,18-Nov-24,Widget B,7,21,$123.14,Ayesha Reyes
ORD98424,15-Jul-24,Widget A,6, 11.25 ,$67.50,John Hussain
ORD97106,10/12/2024,Gadget X,6,7,46.20,Sara Hussain
