 order_id ,date,Product,qty,unit_price,TOTAL ,customer_name
ORD93810,2024-06-29,WIDGET A,5, 12.50 ,62,Ali Khan
ORD88907,"Jun 07, 2024",Service Plan,4, 44.99 ,179.96,Hassan Iqbal
ORD54118,06-27-2024,Widget A,7, 12.50 ,87.50,Fatima Chen
ORD20328,2024-10-20,Gadget X,10,7.00,"70,00",Sara Lee
ORD69429,11-10-2024,Gadget X,3,7.00,$21.00,Zain Lee
ORD93886,2024-11-24,SERVICE PLAN,4,$49.99,"199,96",Omar Garcia
ORD84341,"Dec 01, 2024",Gadget X,4,$7.70,$30.80,Zain Chen
ORD86484,2024-09-11,Gadget X,4,7.00,$28.00,Hassan Iqbal
ORD88104,2024-09-28,Service Plan,5,44.99, 224.95 ,John Hussain
ORD69470,2024-06-01,Gadget X,9,"7,00", 63.00 ,Noor Lee
ORD80697,2024-12-17,Service Plan,1,44.99,"44,99",Ayesha Khan
ORD20322,22/06/2024,Gadget Y,2,4,$9.88,John Chen
ORD37760,10-17-2024,Widget B,5,21,109,Sara Lee
ORD87110,20/10/2024,Widget B,10,19.99,"159,92",Sara Chen
ORD38080,"Oct 17, 2024",Widget B,10,17,179.91,Omar Hussain
ORD17100,2024-11-20,Widget A,1,$13.75, 13.75 ,Fatima Smith
ORD42742,2024-06-20,Gadget Y,9,$5.49,39,Fatima Lee
ORD31579,"Sep 06, 2024",Widget A,7,"12,50", 87.50 ,Fatima Smith
ORD17665,27-Oct-24,SERVICE PLAN,1, 49.99 , 59.99 ,Sara Smith
ORD40828,2024-09-12,Widget A,10, 12.50 , 125.00 ,Noor Chen
ORD97782,12-01-2024,Gadget X,4,7,28.00,Ali Reyes
ORD23104,06-19-2024,Service Plan,4,44.99,"179,96",John Smith
ORD49651,2024-11-04,Service Plan,1,$44.99,44.99,Zain Smith
ORD54942,2024-07-23,Gadget X,9,7.70,"69,30",Ali Khan
ORD44335,2024-07-12,Gadget Y,9,6.04,$54.35,Zain Khan
ORD29410,2024-09-19,Widget B,1,"19,99",$19.99,Sara Hussain
ORD63264,06/11/2024,Widget B, 4 ,19,"79,96",Omar Lee
ORD24168,09-06-2024,Widget A,8,"12,50",$120.00,Ayesha Khan
ORD46517,18-Jun-24,Gadget X,6,"6,30",37.80,John Smith
ORD15014,06-28-2024,Service Plan,7,49, 349.93 ,Sara Iqbal
ORD15817,29-Nov-24,Gadget Y,1,$4.94,4.94,Maria Patel
ORD49363,10-08-2024,Gadget X,7, 7.00 ,49,Omar Smith
ORD81819,31-Dec-24,Widget A,5, 12.50 ,62,Fatima Reyes
ORD32241,16-Nov-24,Widget A,5,"11,25",$56.25,John Lee
ORD16057,02-Aug-24,Gadget Y,10,$5.49,54,Fatima Iqbal
ORD10726,2024-12-10,Widget A,7, 12.50 ,105.00,Fatima Smith
ORD83259,31-Oct-24,Gadget X,8,6, 50.40 ,Fatima Smith
ORD43972,10/12/2024,Widget B,5,"17,99","89,95",Ayesha Garcia
ORD20561,06/07/2024,Widget B,4,21.99,"87,96",Zain Reyes
ORD65069,2024-09-08,Service Plan,1,"44,99",44,Omar Chen
ORD89069,2024-07-27,Gadget Y,4,5,21,Hassan Reyes
ORD80008,2024-06-07,Gadget Y,10,4,49,Hassan Khan
ORD69598,"Aug 23, 2024",GADGET X,7,"7,00",49,Ali Chen
ORD39389,14/11/2024,Widget A,1,12.50,$12.50,Hassan Reyes
ORD38569,2024-09-28,Gadget X,6,$7.00,42.00,Noor Khan
ORD59192,10/09/2024,Widget B,2,17.99,"35,98",Noor Ahmed
ORD15383,2024-08-28,Service Plan,7,49,367.43,Omar Hussain
ORD30052,20-Sep-24,Widget B,9,19, 179.91 ,John Hussain
ORD21359,"Aug 11, 2024",Gadget Y, 4 ,"6,04","24,16",Hassan Reyes
ORD54608,2024-08-11,Service Plan,5,$44.99,213,Zain Lee
ORD74332,23/09/2024,Widget A,2,"12,50","25,00",Fatima Chen
ORD82140,24/08/2024,Gadget X,8,7.00,"56,00",Sara Chen
ORD35105,26-Jul-24,Gadget Y,5, 4.94 ,24.71,Ayesha Garcia
ORD11854,29-Nov-24,Service Plan,3,"49,99",$119.98,Fatima Ahmed
ORD71524,10-01-2024,GADGET Y,6,5,32.94,Omar Reyes
ORD17026,2024-07-09,Widget B,10, 19.99 , 189.90 ,Noor Patel
ORD69049,22-Sep-24,Gadget X,10,7.70,77.00,Ayesha Lee
ORD41439,15-Jul-24,Service Plan,2,49,$119.98,John Garcia
ORD40595,07/08/2024,Service Plan,4,"54,99",208.96,Ali Smith
ORD84607,"Aug 13, 2024",Gadget Y,2,"6,04",12,Fatima Ahmed
ORD52247,02-Nov-24,Gadget X,1, 7.00 ,"7,00",Noor Khan
ORD78021,"Nov 14, 2024",Gadget Y,5,5,27,Maria Iqbal
ORD31079,"Aug 24, 2024",Gadget Y, 8 , 5.49 ,43.92,Maria Garcia
ORD62976,10/10/2024,Widget A,9, 13.75 ,123,Fatima Khan
ORD47752,21-Sep-24,Gadget Y,2,$5.49,"10,98",Zain Khan
ORD24871,09-27-2024,Widget A,3, 13.75 ,41,Fatima Reyes
ORD60277,07-19-2024,Service Plan,9,49, 449.91 ,John Khan
ORD86931,10-27-2024,Gadget Y,3,"6,04", 18.12 ,Omar Reyes
ORD41300,"Oct 25, 2024",Gadget Y,4,6,$28.99,Fatima Khan
ORD53515,2024-06-26,Gadget Y,2,$4.94,$9.88,Sara Reyes
ORD91691,25-Nov-24,Gadget Y,2,5,10,Zain Khan
ORD99705,2024-08-13,Widget B,2,21,"43,98",Ali Khan
ORD56984,04-Sep-24,Gadget Y,3,$5.49,16.47,Noor Iqbal
ORD86435,2024-07-07,Widget B,8,19, 159.92 ,Hassan Ahmed
ORD87014,16/08/2024,Gadget Y,5,6,30.20,Ayesha Iqbal
ORD48696,2024-06-06,Gadget Y,5, 5.49 ,"27,45",Ayesha Patel
ORD34920,2024-11-06,Gadget X,3,"7,00",21.00,Noor Hussain
ORD48680,23-Aug-24,Gadget Y,3, 5.49 ,$17.29,John Reyes
ORD54396,"Dec 23, 2024",Widget A,8, 12.50 ,95,Ali Garcia
ORD98188,12-09-2024,Gadget X,10,7.70,77,Ali Patel
ORD89964,2024-07-27,Widget A, 8 ,$12.50,100.00,John Reyes
ORD80457,05-Jul-24,Gadget Y,8,5,$43.92,Omar Ahmed
ORD46666,09/06/2024,GADGET X,4,"7,70","30,80",Zain Hussain
ORD26011,28-Dec-24,Gadget Y,2,5.49,"10,98",Ayesha Smith
ORD82641,24/07/2024,Service Plan, 4 , 49.99 ,$199.96,Hassan Chen
ORD96646,07/06/2024,Widget B,1, 19.99 ,$19.99,John Khan
ORD24896,08-Dec-24,WIDGET A,8, 13.75 , 110.00 ,Ayesha Patel
ORD96363,"Oct 12, 2024",Gadget X,8,7,67,Fatima Ahmed
ORD29442,17-Jun-24,Widget B,5,"17,99", 89.95 ,Zain Garcia
ORD22999,21/12/2024,Widget A,9,12,112,Omar Iqbal
ORD50963,"Nov 18, 2024",GADGET X,6,7.00,42.00,Sara Iqbal
ORD27054,2024-10-21,Widget A,10,11,112,Ali Garcia
ORD85748,2024-10-08,Widget B,3,"21,99","65,97",Sara Garcia
ORD83526,2024-12-14,SERVICE PLAN,10,$44.99,"472,41",Maria Hussain
ORD84228,2024-11-16,Gadget Y,2,5.49,$10.98,Omar Iqbal
ORD50846,02/12/2024,Gadget X,10,$6.30,50.40,Sara Garcia
ORD89570,2024-09-22,Gadget Y,5,"5,49","27,45",Noor Reyes
ORD38903,10/09/2024,SERVICE PLAN,1,$49.99,"49,99",Maria Ahmed
ORD33028,07-04-2024,Gadget Y,9,5.49,49.41,Omar Khan
ORD51033,"Oct 26, 2024",Gadget Y,10,"6,04",60.39,Maria Smith
ORD57428,"Jun 23, 2024",Gadget Y,2, 5.49 ,"10,98",Maria Lee
ORD76910,11-10-2024,Widget A,9,$11.25,$106.31,John Lee
ORD95918,20-Jun-24,Widget B,8,21, 175.91 ,Noor Hussain
ORD29786,09-21-2024,Widget A,8, 13.75 , 110.00 ,Sara Garcia  
ORD58331,30-Dec-24,Gadget X,2,7, 14.00 ,Ali Reyes
ORD34672,"Aug 22, 2024",Service Plan,8,44.99,"287,94",Sara Chen  
ORD67377,09-21-2024,Service Plan,9,44,"425,16",Noor Khan
ORD18639,24-Aug-24,Widget A,9,$13.75, 123.75 ,Hassan Hussain
ORD96787,"Sep 09, 2024",Widget B,10,"19,99", 199.90 ,Sara Iqbal  
ORD50483,17/07/2024,Widget B,6,21.99,125.34,Zain Chen
ORD14947,17/11/2024,GADGET X,10,$7.00, 70.00 ,Hassan Reyes
ORD41133,22/09/2024,Service Plan,5,"54,99",274,Ayesha Hussain
ORD67749,27/09/2024,Gadget X,7,$6.30,$44.10,John Khan
ORD82684,06-27-2024,Service Plan,2,49,$94.98,Omar Ahmed
ORD69130,08-29-2024,WIDGET A,7,$12.50,87.50,Maria Lee
ORD95191,"Aug 25, 2024",WIDGET B,3,$19.99,59,Fatima Patel
ORD43544,2024-07-26,Widget B,9,"17,99",161.92,Ali Lee
ORD69914,17-Jun-24,WIDGET A,8, 11.25 ,$90.00,John Iqbal
ORD84798,2024-09-15,Widget B,2, 17.99 , 35.98 ,Zain Khan
ORD93318,2024-09-08,Gadget X,5,"7,00",35.00,Noor Hussain
ORD54374,26/12/2024,Widget B,8,21.99,175,Ali Garcia
ORD15492,20-Aug-24,Gadget X,9,7,$69.30,John Hussain  
ORD95948,"Aug 24, 2024",Gadget X,2,7,14,Maria Smith
ORD78062,08/08/2024,Widget A,7, 12.50 ,87.50,Sara Hussain
ORD88986,2024-12-01,GADGET Y,3,"6,04",18,John Khan
ORD57619,"Oct 10, 2024",Widget B,1,19.99,$19.99,Maria Hussain
ORD89310,2024-07-10,Gadget Y,6, 5.49 ,"32,94",Omar Hussain
ORD24869,07-Jun-24,Widget B,8,17.99,"143,93",Fatima Lee
ORD74382,"Jul 22, 2024",Widget A,3,12.50,"37,50",Maria Ahmed
ORD49315,11/07/2024,Widget B,6,$17.99,107,Ali Hussain
ORD82305,"Jul 04, 2024",Service Plan,2, 49.99 ,99,Noor Ahmed
ORD19720,24/09/2024,Gadget Y,9,5,46.94,Sara Chen
ORD52291,2024-11-29,Widget B,6,"17,99", 107.95 ,John Smith
ORD22245,07-Oct-24,Widget B,10,17.99,188.91,Sara Khan
ORD44688,2024-11-14,Widget B,10,21, 219.89 ,John Garcia
ORD99783,12/09/2024,Gadget X,8,7,56,Ayesha Hussain
ORD51853,05-Dec-24,Gadget X,7, 7.00 ,$49.00,Fatima Ahmed
ORD22689,13/06/2024,Gadget X,7,"6,30","44,10",Ayesha Smith
ORD75373,18-Aug-24,GADGET Y,1,5,$5.49,Noor Hussain
ORD88317,"Nov 15, 2024",GADGET Y,5,$4.94,"19,76",Omar Hussain
ORD83638,20-Jul-24,Gadget X,9,"7,00", 75.60 ,Noor Ahmed
ORD58915,21/12/2024,GADGET X,9, 7.00 , 63.00 ,Ali Khan
ORD72094,11/10/2024,Gadget Y,3,"4,94","14,82",Hassan Iqbal
ORD49221,30-Oct-24,Gadget X,9,"6,30",56.70,Maria Hussain
ORD86507,18-Aug-24,Widget A,10, 13.75 ,137.50,Noor Reyes
ORD91230,16/12/2024,Gadget Y,3,5.49,13,Hassan Iqbal
ORD90147,09-29-2024,Widget A,3,11,"33,75",Hassan Reyes
ORD56437,11-21-2024,Gadget X,10, 7.70 ,"73,15",John Lee
ORD72888,"Aug 29, 2024",Service Plan,5,"49,99",$299.94,John Khan
ORD55398,22-Sep-24,Gadget X,8,"7,00","56,00",Hassan Ahmed
ORD41779,06-13-2024,Service Plan,4,49,$239.95,Ali Chen
ORD95575,2024-09-30,Gadget Y,4,5.49,$21.96,Zain Khan
ORD33040,06-10-2024,Gadget Y, 8 ,5.49, 43.92 ,Noor Ahmed
ORD69552,12/11/2024,Service Plan,9, 54.99 ,$494.90,Sara Hussain
ORD43720,01-Dec-24,Widget B,1,$19.99,19,Omar Chen
ORD22502,2024-07-18,Widget B,8,"19,99",159,John Hussain
ORD11498,"Aug 06, 2024",Gadget X,4,"7,00", 28.00 ,John Ahmed
ORD58174,"Nov 05, 2024",Widget B,4, 19.99 , 79.96 ,Fatima Chen
ORD42435,11-22-2024,Service Plan,2,44.99,89.98,Ali Chen
ORD80341,09/07/2024,Widget B,6, 17.99 , 107.95 ,Fatima Khan
ORD69873,10-23-2024,WIDGET A,9,13.75,123.75,Ayesha Patel
ORD18357,17/10/2024,Widget A,2,$13.75,33,Maria Iqbal
ORD59479,09-05-2024,Widget A,9,12.50, 112.50 ,Omar Chen
ORD10455,11-Dec-24,Widget A,5,13,$68.75,Ayesha Reyes
ORD24790,2024-06-09,Gadget Y,10,5.49,54,Noor Khan  
ORD67535,30/07/2024,Service Plan,4, 49.99 , 209.96 ,Maria Lee
ORD96535,12-Oct-24,Widget B,7, 19.99 ,$139.93,Omar Chen
ORD94320,"Nov 19, 2024",Gadget Y,9,$5.49,$49.41,Zain Reyes
ORD28920,"Dec 24, 2024",Gadget Y,1, 4.94 ,4,Ayesha Garcia
ORD68954,03-Sep-24,Widget A, 9 , 12.50 ,135.00,Ayesha Patel
ORD72835,24/07/2024,Gadget X,5,7.00,35,Ayesha Patel
ORD41369,10-20-2024,GADGET X,5,"7,70", 38.50 ,Fatima Reyes
ORD71537,2024-12-12,Gadget X,4, 7.00 ,$28.00,Ali Garcia
ORD64732,15-Aug-24,Widget B,4,$19.99,"79,96",John Reyes
ORD74303,26/09/2024,Widget B,6, 19.99 ,143.93,Zain Khan
ORD97584,13/06/2024,Widget A,7,12.50,87.50,Ayesha Chen
ORD93588,2024-11-18,SERVICE PLAN,8,54.99,"527,89",Zain Garcia
ORD98346,19/09/2024,Widget B,2,$19.99,"39,98",Maria Garcia
ORD63218,2024-09-26,Service Plan,4,49.99,199,Omar Chen
ORD32463,2024-06-22,Gadget Y,7, 5.49 ,$38.43,Ayesha Patel  
ORD19744,23/11/2024,Gadget X, 9 ,"6,30",$56.70,Noor Smith
ORD62205,"Jun 20, 2024",Gadget X,3, 6.30 ,$18.90,Sara Chen
ORD22803,20-Sep-24,Widget B,2, 19.99 ,"39,98",Ali Garcia
ORD39902,2024-08-31,Service Plan,7, 54.99 ,$461.91,Sara Ahmed
ORD93086,07-10-2024,GADGET Y,6,5,"26,35",Sara Smith
ORD83005,21-Oct-24,Service Plan,7,49.99,"367,43",Omar Khan
ORD21101,"Dec 03, 2024",Service Plan,4,$44.99,"179,96",John Reyes
ORD46170,16/09/2024,Gadget X,8,7,$56.00,Fatima Ahmed  
ORD61864,"Aug 25, 2024",Service Plan,7, 49.99 ,"349,93",Noor Lee
ORD62198,08-21-2024,Gadget X,8,6,50,Maria Ahmed
ORD81516,17/07/2024,Service Plan,1,54,54.99,Omar Reyes
ORD43119,16-Nov-24,Widget B,7,21,184,Zain Khan
ORD80373,10-31-2024,Widget A,2,$12.50,25.00,Noor Iqbal
ORD66420,28-Jun-24,Widget A,2, 12.50 , 25.00 ,Ayesha Reyes
ORD99070,"Oct 29, 2024",Service Plan,3,49.99,149.97,Sara Smith
ORD37114,10-12-2024,Gadget Y,6,6.04,43.48,Ali Hussain
ORD31542,12-07-2024,Widget B,9, 19.99 ,179,Ayesha Iqbal
ORD96154,"Sep 19, 2024",Gadget Y,1, 4.94 ,4.94,Ayesha Lee
ORD18200,26/10/2024,Widget A,9,12,112,Zain Hussain
ORD86939,06-30-2024,Gadget X,6, 7.70 ,$46.20,Maria Ahmed
ORD58929,25/11/2024,Widget B,9, 21.99 ,$197.90,Fatima Chen
ORD32706,"Oct 21, 2024",Widget B,8, 19.99 ,"167,92",Ali Reyes
ORD83607,"Oct 08, 2024",Gadget Y,7,6, 42.27 ,Ali Lee
ORD80465,"Aug 13, 2024",Widget B,8, 17.99 , 143.93 ,Sara Garcia
ORD58085,"Oct 17, 2024",Widget A,8,11.25,$90.00,John Khan
ORD21401,21-Sep-24,Widget A,4,"12,50", 50.00 ,Omar Smith
ORD37124,24-Dec-24,Widget A,10, 12.50 ,"125,00",John Patel
ORD99037,12-26-2024,Widget A,3,$13.75,$41.25,Ayesha Smith
ORD98635,"Sep 09, 2024",Gadget Y,3,4,14.82,Omar Chen
ORD58374,"Sep 25, 2024",Gadget Y,6,"4,94", 23.72 ,Omar Lee
ORD74843,08/08/2024,GADGET X,5, 7.00 ,"35,00",Ali Khan
ORD70238,"Jun 05, 2024",Widget A,3,$13.75,$41.25,John Smith
ORD22234,15/11/2024,Gadget X,5,7.00,"35,00",Ayesha Iqbal
ORD10142,25-Jul-24,Gadget Y, 2 ,5,"10,98",Sara Iqbal
ORD40008,09-07-2024,Widget A,2,$12.50,$25.00,Hassan Ahmed  
ORD95199,13/07/2024,Gadget Y,6,5,32,Ayesha Ahmed
ORD26142,29/10/2024,Gadget Y,6,$6.04,36.23,Ayesha Chen
ORD47345,17-Dec-24,Widget A,5,$12.50,"62,50",Ali Lee
ORD75481,2024-11-11,Service Plan,2,"44,99",$89.98,Omar Patel
ORD32645,2024-12-13,Gadget Y,2,"5,49",10.98,Omar Chen
ORD64451,17/09/2024,Gadget Y,2,"4,94",9.88,Zain Lee
ORD52827,09/09/2024,Service Plan,2,49.99,99,Sara Reyes
ORD97304,2024-12-07,Widget B,2,$19.99,"39,98",Zain Chen
ORD31884,2024-09-04,Widget B,5,"19,99","99,95",Zain Ahmed
ORD92251,"Jun 20, 2024",Gadget Y,8, 4.94 ,$39.53,John Ahmed
ORD25117,2024-07-29,Service Plan, 1 ,$49.99,"49,99",Omar Smith
ORD14635,10-20-2024,Gadget Y,4,"5,49", 21.96 ,Maria Ahmed
ORD33507,07-28-2024,Service Plan,1,"54,99", 65.99 ,Fatima Khan
ORD49834,"Dec 07, 2024",SERVICE PLAN,4,$54.99, 219.96 ,Ayesha Smith
ORD40539,10-17-2024,Gadget X,1,7.00,$8.40,Omar Reyes
ORD28661,30-Nov-24,Gadget X,2,7,"14,00",Fatima Ahmed
ORD93521,"Dec 27, 2024",Gadget Y,2,$4.94,"9,88",Maria Iqbal
ORD51688,24/09/2024,Gadget X,4, 7.00 ,28.00,Hassan Reyes
ORD80244,2024-08-31,Widget B,8,19.99,"159,92",Noor Khan
ORD29441,06-24-2024,Widget B,6,"21,99",$131.93,Ali Iqbal
ORD82105,03/08/2024,Widget A, 8 ,12.50,$100.00,Hassan Lee
ORD92614,2024-11-13,WIDGET A,10,11.25,$112.50,Fatima Smith
ORD53456,"Jul 02, 2024",Widget A, 8 ,12,120,Hassan Hussain
ORD46681,23/09/2024,WIDGET B,1,"17,99", 17.99 ,Fatima Khan
ORD64949,"Jul 22, 2024",Service Plan,4,"44,99",179,Maria Patel
ORD33568,2024-06-07,Gadget X,10,7, 73.50 ,Ayesha Smith
ORD44934,"Oct 15, 2024",Widget A,4,"11,25",$45.00,Hassan Lee
ORD57026,30-Oct-24,Widget A,6,$11.25,67,Zain Garcia  
ORD17362,2024-07-30,Service Plan,4,"49,99",$199.96,Hassan Hussain
ORD52413,16/06/2024,Widget A,3,11.25,"33,75",Sara Hussain
ORD86810,"Jun 26, 2024",Gadget X,5,7,$33.25,Zain Patel
ORD87194,12-26-2024,Widget B,7,$19.99,139.93,Noor Iqbal
ORD84381,09-Jun-24,Widget B,10,$19.99,199.90,Fatima Smith
ORD55457,08-21-2024,Widget B,2,$19.99,39.98,Maria Garcia
ORD16310,"Sep 07, 2024",Gadget Y,7,5,38,Sara Reyes
ORD39567,07-12-2024,Gadget Y,2,"5,49",10.98,Maria Smith
ORD19830,"Oct 19, 2024",Widget A,6,11.25,$67.50,Noor Iqbal
ORD36941,07-19-2024,Gadget Y,9,"4,94",44.47,Omar Patel
ORD17144,01-Sep-24,Widget A,7,12,87.50,Ayesha Smith
ORD72071,06-30-2024,Gadget X,7,7.70,53,Hassan Hussain
ORD68428,06-12-2024,Gadget X,8, 7.70 ,61.60,Sara Hussain
ORD87296,"Jul 29, 2024",Service Plan,1, 54.99 ,54,Noor Lee
ORD14551,07-Oct-24,Service Plan,9,$44.99,404,Hassan Smith
ORD26539,11/06/2024,Gadget Y,2, 6.04 ,12.08,Sara Iqbal
ORD46202,"Oct 12, 2024",Gadget Y,1,4.94,$4.94,Noor Patel
ORD23133,06-28-2024,Service Plan,2,49,99,Noor Patel
ORD62818,07/07/2024,Service Plan,10,54.99,"577,38",Maria Khan
ORD50756,08-11-2024,Gadget Y,2,"5,49", 13.18 ,Sara Lee
ORD63368,07-Dec-24,Gadget Y,9,$5.49, 49.41 ,Omar Smith
ORD84537,08/06/2024,Widget B,4,19.99,"79,96",Ayesha Garcia
ORD62028,10-Nov-24,Widget A,1,12,12,Noor Chen
ORD43903,09/12/2024,Widget A,5, 12.50 ,$62.50,Ayesha Lee
ORD63674,10/10/2024,Widget A,1, 13.75 ,$13.75,John Patel
ORD94245,10/08/2024,Gadget Y,7,5, 38.43 ,Noor Iqbal  
ORD96816,2024-09-04,Service Plan,10,44,"449,91",Maria Garcia
ORD95389,2024-08-16,Widget B,3, 17.99 ,"53,97",Hassan Khan
ORD44003,16-Sep-24,Gadget Y,7,$5.49,$38.43,Zain Reyes
ORD76494,"Aug 16, 2024",Widget B,9,$19.99, 179.91 ,Hassan Hussain
ORD39272,08-Dec-24,Gadget X,7,"7,00",49.00,Fatima Khan
ORD91350,19-Jun-24,Gadget Y,4,"4,94",$23.72,Hassan Lee
ORD69974,07/07/2024,Gadget X,3,"7,00",21.00,Fatima Garcia
ORD85534,"Dec 13, 2024",WIDGET B,8,19,191,Omar Khan
ORD58903,04/06/2024,Gadget X,9,$7.00,"50,40",John Smith
ORD50123,"Jul 13, 2024",Widget A,1, 12.50 ,"12,50",Omar Smith
ORD57087,10/12/2024,Widget B,3,$21.99, 62.67 ,Zain Smith
ORD14897,2024-09-05,Gadget X, 9 ,6.30,45.36,Omar Reyes
ORD72180,2024-11-27,Widget B,4, 19.99 , 79.96 ,Hassan Iqbal
ORD90962,01-Jul-24,Gadget X,2,$7.00, 14.00 ,Ayesha Hussain
ORD15164,2024-10-19,Gadget Y,4,6.04,24.16,Noor Reyes
ORD77070,06-20-2024,Widget A,5,"12,50",62.50,Hassan Khan
ORD98705,2024-08-20,Gadget Y,2,5.49,$10.98,Maria Hussain
ORD45167,"Dec 05, 2024",Widget A,6,12,90,Fatima Iqbal
ORD24818,04-Jul-24,Widget A,3,12,37,Hassan Patel
ORD13777,"Nov 23, 2024",Widget B,8,21.99,"211,09",Ali Chen
ORD84057,28-Jul-24,Gadget X,9,6.30,$56.70,Fatima Hussain
ORD29484,29-Dec-24,Service Plan,10,49,$474.91,Sara Reyes
ORD46458,"Jun 13, 2024",SERVICE PLAN,4,$44.99,179,Noor Reyes
ORD51426,2024-07-01,Gadget Y,1, 5.49 ,5.49,Noor Patel
ORD83706,23/07/2024,Gadget Y,6,5, 32.94 ,Noor Reyes
ORD69314,06-30-2024,Widget A,4, 12.50 ,50.00,Ali Smith
ORD63636,28/06/2024,Gadget X,10,7,$84.00,Maria Ahmed  
ORD93000,20-Nov-24,Service Plan,2, 54.99 ,109,Ali Chen
ORD66729,28/10/2024,Gadget Y,9,$5.49, 49.41 ,Noor Hussain
ORD89822,11-25-2024,Widget B,5,21,$109.95,Omar Patel
ORD49179,27/11/2024,Service Plan,6,$44.99,"269,95",Maria Smith
ORD33306,07-Oct-24,Service Plan,6,49,299,Zain Garcia
ORD11673,12/10/2024,Widget A,1,"13,75",$11.00,John Garcia
ORD48684,2024-07-23,Service Plan,1, 49.99 , 49.99 ,Ayesha Chen
ORD47701,11-25-2024,Widget A,7, 13.75 ,"96,25",Ayesha Patel
ORD68073,30-Dec-24,Widget B,6,$17.99,$107.95,John Reyes
ORD34507,15-Jul-24,Service Plan,2,"54,99", 115.48 ,John Khan
ORD30290,"Jun 11, 2024",Widget B,6, 17.99 ,113.34,Maria Chen
ORD18936,"Dec 19, 2024",Service Plan,3,54.99,$164.97,Maria Hussain
ORD91039,"Oct 14, 2024",Gadget Y,9,$5.49, 51.88 ,Noor Lee
ORD52065,09-06-2024,Widget A,7,12.50,"87,50",Zain Chen  
ORD95397,20/07/2024,Gadget X,9, 7.00 ,63.00,Ayesha Lee
ORD23621,23/07/2024,SERVICE PLAN,7,49.99,"349,93",Ali Ahmed
ORD43018,"Oct 21, 2024",WIDGET A,10,12,125,Omar Hussain
ORD80101,06-02-2024,Service Plan,2, 44.99 ,"71,99",Noor Ahmed
ORD59992,10/09/2024,Widget A,8,12, 100.00 ,John Smith
ORD94926,2024-09-04,Widget A,9, 11.25 , 81.00 ,Zain Ahmed
ORD55069,25-Jul-24,Gadget Y,9,"5,49",$46.94,Noor Khan
ORD81939,09-27-2024,Service Plan,2,49.99, 99.98 ,Fatima Hussain
ORD40740,06-26-2024,Gadget X,10,7, 70.00 ,John Patel
ORD51462,18/09/2024,Widget B,1,19,"19,99",Hassan Hussain
ORD57020,12-16-2024,Gadget X,8,$6.30,$40.32,John Ahmed
ORD76476,09-Nov-24,Widget A,10,$11.25, 112.50 ,John Chen
ORD95709,16-Dec-24,Widget B,6,"21,99", 131.93 ,Zain Ahmed
ORD96858,01/08/2024,SERVICE PLAN,3, 44.99 ,$128.22,Fatima Hussain
ORD40375,17-Jun-24,Gadget X,6,"7,00",39,Ali Khan
ORD78337,10/11/2024,Gadget X,5,6,"31,50",Noor Ahmed
