 order_id ,date,Product,qty,unit_price,TOTAL ,customer_name
ORD19278,15/09/2024,Widget B,7,21.99,153,Fatima Garcia
ORD14655,2024-07-14,Gadget Y,2, 5.49 ,10.98,Ayesha Garcia
ORD62653,08-Nov-24,Widget A,4, 13.75 ,55,Fatima Garcia
ORD86686,15-Dec-24,Gadget X,10,7,77,Maria Patel
ORD89222,06-Nov-24,Gadget Y,4,$4.94,$23.72,Zain Chen
ORD97875,17-Jul-24,Gadget X,9,7.70,65,Noor Smith
ORD24936,06-04-2024,Service Plan,8,$49.99,"399,92",John Lee
ORD65835,08-16-2024,SERVICE PLAN,1,54.99,54,Noor Lee
ORD88232,"Dec 24, 2024",Gadget Y,5,$5.49,27,Hassan Smith
ORD45551,2024-07-03,Service Plan,8,$49.99,"379,92",Ali Khan
ORD31344,06-Dec-24,Service Plan,5,$44.99,224.95,John Patel
ORD47445,13/06/2024,Widget B, 6 ,$19.99,119,Sara Lee
ORD39093,26/10/2024,Service Plan,4,"44,99",$179.96,Ali Khan
ORD21538,28-Jul-24,Gadget X,3, 7.70 ,21.95,Ali Chen
ORD14571,"Jun 09, 2024",Service Plan,2,"44,99","89,98",Sara Khan  
ORD23250,2024-10-29,Gadget Y,2, 5.49 , 13.18 ,Hassan Smith
ORD53730,"Aug 15, 2024",Gadget Y,7,4,34.59,Omar Lee
ORD86568,2024-08-09,Gadget X,5,7,"35,00",John Garcia
ORD25963,10-25-2024,Widget B,1,17.99,$17.99,Hassan Khan
ORD80860,10-05-2024,Gadget Y,8,$5.49,43.92,Zain Garcia
ORD28668,06/07/2024,Widget B,10,"19,99",199.90,John Khan
ORD58296,31/07/2024,Gadget X,1,7,7,Ayesha Ahmed
ORD93529,08-28-2024,Widget A,5,"12,50", 62.50 ,Fatima Hussain
ORD69465,10-Jul-24,Service Plan, 1 ,49,"49,99",Hassan Chen
ORD22151,06-30-2024,Gadget X,9, 7.70 ,$55.44,Noor Chen
ORD19782,2024-11-08,Widget A,9,"13,75", 129.94 ,Ayesha Chen
ORD80473,19-Jun-24,Service Plan,2,49,"99,98",Ayesha Lee
ORD51629,10-29-2024,Gadget Y,5,$5.49,27.45,Sara Chen
ORD57568,12-30-2024,Widget A,5,11.25,$56.25,Noor Garcia
ORD29651,12/11/2024,Widget B,1, 19.99 ,$19.99,Noor Garcia
ORD61139,07-05-2024,Widget A,4,12.50, 50.00 ,Ali Reyes
ORD83643,06-13-2024,Service Plan,9, 44.99 ,"404,92",Sara Reyes
ORD35406,15/08/2024,Widget B,6, 19.99 ,119,Sara Reyes
ORD52813,17/06/2024,Gadget Y,4,4,19.76,Omar Ahmed
ORD38821,07-Aug-24,Service Plan,6,"49,99",314.94,Zain Hussain
ORD99935,07-04-2024,Gadget X,5,$7.70,"38,50",Ali Reyes
ORD35183,08-23-2024,Widget B,3, 19.99 ,"59,97",Fatima Patel
ORD24908,05/07/2024,Service Plan,7,$49.99,$367.43,Maria Iqbal
ORD62697,"Nov 30, 2024",Gadget Y, 8 ,$5.49,52.70,Fatima Smith
ORD31469,2024-11-24,GADGET X,5,7,42.00,Ali Garcia
ORD34607,"Dec 15, 2024",Service Plan,4,54,$219.96,Omar Khan
ORD54234,25/11/2024,Gadget X,9,6,56.70,Ayesha Hussain
ORD56901,24/07/2024,Gadget Y,8,"4,94","39,53",Ali Garcia
ORD87961,06/07/2024,Service Plan,2,"49,99", 99.98 ,Zain Reyes  
ORD43168,"Jul 23, 2024",WIDGET B,1, 17.99 , 18.89 ,Noor Khan
ORD75757,15/10/2024,Gadget Y,6,$6.04,"36,23",Noor Chen  
ORD73253,"Jun 28, 2024",GADGET Y,6, 5.49 , 32.94 ,Noor Hussain  
ORD52372,07-18-2024,Service Plan,6,$54.99,$329.93,John Hussain
ORD46536,2024-09-26,GADGET Y,2,5.49, 10.98 ,Zain Khan
ORD25937,"Oct 15, 2024",Widget B,5,19,$79.96,Hassan Garcia
ORD61897,2024-10-23,Gadget X,5,7.00,"28,00",Sara Smith
ORD12285,28/11/2024,Gadget Y,10,$5.49,$43.92,Fatima Patel
ORD61673,2024-07-31,Widget B,5, 19.99 ,"99,95",Fatima Chen
ORD18385,31/08/2024,Widget B, 4 , 19.99 ,$79.96,Sara Smith
ORD37065,14-Oct-24,Gadget Y,1,$5.49,5.49,Hassan Reyes
ORD20618,03/11/2024,Widget B,10, 19.99 ,"199,90",Noor Lee  
ORD95319,2024-12-20,Gadget Y,3,"4,94",14,Omar Lee
ORD21692,12-19-2024,Widget A,3,"12,50", 37.50 ,Zain Garcia
ORD82082,"Oct 22, 2024",Gadget X,8,$7.00, 53.20 ,Omar Garcia
ORD73626,2024-10-19,SERVICE PLAN, 6 , 49.99 , 299.94 ,Fatima Khan
ORD58714,08/06/2024,Service Plan,1, 54.99 ,65.99,Hassan Reyes
ORD34360,14/07/2024,Widget B,5,$19.99,99.95,Noor Reyes
ORD21953,29/11/2024,Widget B,7,17.99,"125,94",Hassan Lee
ORD39330,"Dec 16, 2024",Gadget Y, 3 ,5.49,15,Hassan Patel
ORD73166,11-10-2024,Widget B,5,19, 94.95 ,Ali Reyes
ORD31984,21-Sep-24,Gadget Y,6,4,$29.65,Omar Hussain
ORD44384,27-Sep-24,Service Plan,8, 49.99 ,399.92,John Garcia
ORD54743,"Oct 24, 2024",Gadget X,9,7,63.00,Zain Patel
ORD62784,06-28-2024,Widget B,2,19,39.98,Zain Chen
ORD25804,30/09/2024,Widget A,2,"12,50",25.00,John Iqbal
ORD89583,23/09/2024,Service Plan,3,"44,99", 141.72 ,John Chen
ORD94392,06-Sep-24,Service Plan,3,"49,99",149,Omar Lee
ORD85766,"Oct 21, 2024",Widget B,5,19.99,104.95,Fatima Reyes
ORD48193,24-Jul-24,Widget B,8, 19.99 ,"159,92",Maria Hussain  
ORD58467,07-Jul-24,Gadget Y,7,5.49,"38,43",Omar Lee
ORD41115,16-Oct-24,Widget B,9,"17,99","194,30",Maria Khan
ORD24295,2024-12-15,Gadget X,9,"7,70",69.30,Omar Khan
ORD96070,31/10/2024,WIDGET B,5, 19.99 ,99.95,Zain Smith
ORD88777,06-14-2024,Gadget X,7,6.30, 44.10 ,Noor Garcia
ORD35883,"Aug 07, 2024",Gadget Y,5, 6.04 ,$30.20,Omar Chen
ORD52415,"Oct 11, 2024",Widget B,2,19.99,$31.98,Fatima Khan
ORD91397,21-Jul-24,Service Plan,6, 49.99 ,$299.94,Maria Lee
ORD91472,"Sep 19, 2024",Gadget Y,8, 5.49 ,$41.72,Maria Hussain
ORD43657,"Jun 29, 2024",Service Plan,5,$49.99,249.95,Ayesha Patel
ORD41813,2024-08-05,Widget A,5,13,68.75,Omar Garcia
ORD73268,2024-07-24,Gadget X,3,$6.30,$18.90,Omar Patel
ORD55134,2024-10-24,Gadget X,5,7.00,36,Fatima Hussain  
ORD40619,2024-08-18,Service Plan,10,49.99, 499.90 ,Noor Smith
ORD82989,09-Nov-24,Gadget X,2,7,$14.00,John Khan  
ORD96638,"Nov 14, 2024",Gadget X,7, 7.00 ,"49,00",Fatima Iqbal
ORD84022,"Aug 01, 2024",Widget B,10,$17.99,$179.91,Sara Ahmed
ORD30903,2024-11-12,Service Plan,9,"44,99", 404.92 ,Noor Lee
ORD90562,22-Sep-24,Widget A,9,"13,75",123,Maria Chen
ORD86561,10-04-2024,Gadget X,4,7.70,24,Hassan Smith
ORD41722,05-Jun-24,Gadget X,9,$7.70, 69.30 ,Maria Lee
ORD42503,"Oct 14, 2024",WIDGET A,5,$11.25,"56,25",Ali Smith
ORD64760,12-18-2024,Gadget Y,8,$5.49, 43.92 ,Omar Smith
ORD91665,11-20-2024,Widget B,3,$17.99,53,Sara Ahmed
ORD55476,03-Dec-24,Gadget Y,9,5.49,49.41,Hassan Khan
ORD11625,25-Aug-24,Service Plan,3,54.99,"164,97",Sara Chen
ORD17568,2024-08-29,Gadget Y,4,"4,94",$15.81,Maria Smith
ORD17336,12-Sep-24,Gadget Y,10, 5.49 ,$54.90,John Hussain  
ORD66748,"Dec 01, 2024",Service Plan,7,49,367.43,Ayesha Reyes
ORD96468,2024-12-24,Gadget X,8,$6.30, 50.40 ,Ali Khan
ORD77821,2024-09-12,Service Plan,2,49, 104.98 ,Ayesha Hussain
ORD60414,09-10-2024,Widget B,2,21.99,$52.77,Fatima Iqbal  
ORD43380,22/06/2024,Gadget X,2,"7,00",14.00,Omar Khan
ORD39296,08-09-2024,Widget A,3, 12.50 , 37.50 ,Maria Ahmed
ORD84598,2024-08-23,Gadget Y,1,5,5,Sara Ahmed
ORD94721,2024-08-04,WIDGET B,1,$19.99,$19.99,Hassan Smith
ORD85648,2024-08-04,Widget A,8,"12,50",$100.00,Sara Garcia
ORD87890,14-Jul-24,Widget A,1,$12.50, 12.50 ,Omar Lee
ORD58802,"Aug 21, 2024",Gadget Y,8,$5.49,"43,92",John Ahmed
ORD52374,2024-12-02,Widget B,2,19,39,Ayesha Iqbal
ORD94116,10-13-2024,Widget A,1,$12.50, 15.00 ,John Ahmed
ORD13594,2024-08-21,Widget B, 10 , 19.99 ,"199,90",Zain Garcia
ORD42014,"Sep 14, 2024",Service Plan,6,"54,99",329,Omar Lee
ORD82447,03/06/2024,Widget B,6,19.99,119,Omar Patel
ORD26372,2024-12-07,Gadget X,7,7,"49,00",Sara Khan
ORD32921,12-12-2024,Service Plan,1,"49,99", 49.99 ,Omar Iqbal
ORD80290,2024-10-25,Gadget Y,4, 5.49 , 20.86 ,Maria Iqbal
ORD72306,2024-10-31,Gadget X,6,7,42,Hassan Ahmed
ORD55568,04-Dec-24,Service Plan,9,54.99,$494.90,Maria Ahmed
ORD38629,29/07/2024,SERVICE PLAN,9,44,404.92,Noor Garcia
ORD82677,"Aug 18, 2024",WIDGET A,7,$12.50,$87.50,Maria Iqbal
ORD99182,2024-06-11,Gadget Y,3,4.94,"17,79",Sara Ahmed
ORD38944,"Jun 25, 2024",Gadget X,2,"7,00", 14.00 ,Hassan Iqbal
ORD30346,2024-09-18,Gadget X,1,7,$6.65,Sara Hussain
ORD73267,2024-11-04,Widget B,7,19,139.93,Sara Lee
ORD77840,27-Sep-24,Widget A,3,13,39.19,Maria Lee
ORD49442,2024-10-07,Gadget Y,2, 5.49 , 10.98 ,Fatima Hussain
ORD37608,01/12/2024,Gadget X,10,"7,00",70,Maria Khan  
ORD70903,11/08/2024,Gadget X,10,$7.00,70,Sara Patel
ORD54766,27/09/2024,GADGET X,2,$7.70,"15,40",John Garcia
ORD43874,17-Dec-24,Widget A,9, 12.50 ,112.50,Maria Smith
ORD83638,2024-12-06,Widget A,5,11.25, 56.25 ,Maria Iqbal
ORD20052,16/08/2024,GADGET Y,6,4, 29.65 ,Omar Lee
ORD26009,2024-10-12,Widget A,4,$12.50,50,Zain Lee
ORD24425,10-26-2024,GADGET Y,7, 5.49 ,"46,12",Maria Lee  
ORD30260,20-Dec-24,Service Plan, 1 ,"49,99",49,John Ahmed
ORD83495,01/08/2024,Service Plan,8,54.99,439,Noor Chen
ORD19858,06-27-2024,Widget B,3, 21.99 ,65.97,Ali Iqbal
ORD26786,07-Sep-24,Widget B,5,$19.99,99.95,Hassan Iqbal
ORD90636,11-12-2024,SERVICE PLAN,8, 49.99 , 399.92 ,Maria Lee  
ORD38303,24-Jul-24,Widget A, 6 ,"12,50",$71.25,Fatima Patel  
ORD52181,"Aug 17, 2024",Service Plan,2,"49,99","99,98",Ali Garcia
ORD93539,2024-07-23,Gadget Y,7,5,$38.43,Ayesha Khan
ORD55115,16/09/2024,Widget B,2,19,"39,98",Ali Lee
ORD45192,2024-10-22,Gadget Y,4,5.49,21.96,Sara Iqbal
ORD69160,"Aug 11, 2024",Widget A,9,13.75,"123,75",Zain Reyes
ORD96288,12-28-2024,Gadget Y,1,5,$6.59,Sara Garcia
ORD96553,12-27-2024,Widget A,8, 12.50 ,"120,00",Hassan Reyes
ORD81582,07-18-2024,Service Plan,10, 54.99 ,"549,89",Maria Ahmed
ORD31474,02-Dec-24,Gadget X,5, 6.30 , 31.50 ,Ayesha Garcia
ORD93884,"Dec 05, 2024",Gadget X, 9 , 7.00 ,$63.00,Omar Lee
ORD18129,"Sep 02, 2024",GADGET Y,1,5.49,$6.59,Fatima Chen
ORD23473,07-Sep-24,Service Plan, 9 , 44.99 ,384.67,Fatima Chen
ORD53390,2024-09-25,Widget B,1,$19.99, 19.99 ,Sara Lee
ORD24936,2024-12-27,Widget B,6,19.99,$119.94,John Chen
ORD34875,2024-09-09,Service Plan,2, 44.99 ,89,Omar Reyes
ORD20873,24-Oct-24,Gadget X,8,$7.00,44.80,Ali Patel
ORD51376,21/07/2024,Gadget Y,8, 5.49 ,43.92,Omar Ahmed
ORD34122,"Nov 29, 2024",Service Plan,4,44,179,Hassan Patel
ORD43329,05-Jun-24,GADGET Y,2,5.49,10.98,Omar Smith
ORD88832,2024-12-18,Widget B,9,"19,99",179.91,John Iqbal
ORD55903,"Dec 14, 2024",Gadget Y,2,5,"13,18",Maria Hussain  
ORD97105,2024-09-07,Gadget Y,7,"5,49",38.43,Maria Reyes
ORD47137,01-Oct-24,Gadget X,9,7.00,59,Fatima Ahmed
ORD67338,11/07/2024,Widget B,6,$19.99, 113.94 ,Zain Garcia
ORD87935,2024-12-14,Gadget X,3,$7.70,23.10,Fatima Iqbal
ORD29466,31/07/2024,Gadget X,6,$7.00, 42.00 ,Hassan Lee
ORD87667,12-Aug-24,Widget A,4,11,54.00,John Hussain
ORD83072,"Aug 20, 2024",Widget B,9,"19,99",179.91,Noor Chen
ORD70473,26-Oct-24,Gadget X,4,"7,00","28,00",Hassan Smith
ORD86106,11-Jun-24,Service Plan,2,54.99, 115.48 ,Fatima Smith
ORD63291,"Jul 17, 2024",Widget B,7, 19.99 ,139.93,Fatima Hussain
ORD14628,"Jun 22, 2024",WIDGET B,7,$21.99,123.14,Omar Iqbal
ORD54651,11-01-2024,GADGET X,6,$7.00,42,Noor Chen
ORD42296,"Jun 10, 2024",Service Plan,2, 54.99 ,$109.98,Ali Reyes
ORD96020,2024-11-18,Service Plan,9,$49.99,472,Ayesha Chen
ORD80375,"Jun 23, 2024",Gadget X,10, 7.00 ,56,Fatima Hussain
ORD59066,11-09-2024,Gadget Y,5,6.04,30,John Chen
ORD60188,20-Jul-24,Widget A,7,"12,50",$87.50,Maria Lee
ORD17660,2024-08-03,SERVICE PLAN,8,49,"399,92",Omar Patel
ORD17389,06-11-2024,Gadget X,4,7.00,33,Noor Iqbal
ORD48139,23-Oct-24,Gadget Y,7,5.49,38,John Patel
ORD77593,"Jul 19, 2024",GADGET Y,10,6.04, 60.39 ,John Reyes
ORD68384,09-24-2024,Widget A,1,$12.50,12,Noor Hussain
ORD52375,07-30-2024,Gadget X,2,"7,00",$14.00,Hassan Khan
ORD14090,"Jun 22, 2024",Service Plan,5,"49,99",$249.95,Maria Patel  
ORD37012,25-Nov-24,Service Plan,7, 49.99 ,"349,93",John Chen
ORD47917,11/10/2024,Gadget Y,2,"5,49",10,Fatima Smith
ORD96837,"Aug 14, 2024",Widget A,9,12,112.50,Zain Patel
ORD23821,2024-08-22,GADGET X,5,7.00,"36,75",Ali Lee
ORD16533,2024-12-03,Gadget Y,5,6,30.20,Ayesha Hussain
ORD47592,"Nov 28, 2024",GADGET X,7, 7.70 ,53.90,Ali Garcia
ORD20186,"Sep 24, 2024",Gadget X,10,$7.00,70.00,Sara Garcia  
ORD88595,14/06/2024,Service Plan,5, 44.99 ,224.95,Ayesha Chen
ORD67607,06-21-2024,Gadget Y,10,"5,49",$54.90,Hassan Reyes
ORD88604,2024-07-01,Service Plan,1,$49.99,$49.99,Omar Iqbal
ORD32277,23/12/2024,Gadget Y,5,$4.94,19.76,John Patel
ORD51002,19/09/2024,GADGET X,5,$7.00,35.00,Fatima Ahmed
ORD29376,30/08/2024,Gadget Y,6, 4.94 , 29.65 ,Zain Ahmed
ORD18029,30/12/2024,Gadget Y,2,4.94,$9.39,Omar Garcia
ORD64849,2024-08-06,Widget A,8,12.50, 105.00 ,Fatima Chen
ORD22844,10-20-2024,Service Plan,5,"49,99","237,45",Ayesha Iqbal
ORD17215,20-Oct-24,Widget B,9,21,197.90,John Khan
ORD33615,06-30-2024,Gadget Y,6,6,"36,23",Omar Khan
ORD79761,"Jul 07, 2024",Widget B,2,19,39.98,Ali Smith
ORD21106,2024-08-15,Gadget X,7,$7.00,$49.00,Omar Patel
ORD96249,11-18-2024,Service Plan,4, 49.99 ,$199.96,Fatima Ahmed
ORD68628,06-10-2024,WIDGET A,7,$12.50,87,Maria Ahmed
ORD26439,09-29-2024,Gadget X,8,7.00,67.20,Maria Smith
ORD42039,12-10-2024,Service Plan,2,44,"89,98",Maria Reyes
ORD57221,14/07/2024,Gadget Y,2,5.49, 10.98 ,Hassan Reyes  
ORD29904,07-08-2024,Widget A, 8 ,$12.50,$100.00,Omar Lee
ORD59636,27-Dec-24,WIDGET A,8,"12,50","100,00",Sara Smith  
ORD39450,2024-07-02,Gadget X,6,7,$42.00,Noor Khan  
ORD31295,"Dec 24, 2024",Widget B,4, 21.99 ,"87,96",Ayesha Patel
ORD32842,2024-06-02,Service Plan,3,49,$149.97,Maria Garcia
ORD86092,11-07-2024,Service Plan,4,49.99,199.96,Sara Hussain  
ORD50123,12-Dec-24,Widget B,9,19,"179,91",Sara Lee
ORD73481,2024-06-07,Gadget X,4,$6.30,23.94,Sara Khan
ORD71779,10-15-2024,Service Plan,2,49,99,Ayesha Hussain
ORD37875,23-Nov-24,Widget A,3, 12.50 , 37.50 ,Fatima Hussain
ORD77757,10-18-2024,Gadget Y,5, 6.04 ,30,John Iqbal
ORD42662,29/12/2024,Gadget Y,7,"5,49",$40.35,Ayesha Reyes
ORD45097,15/10/2024,Service Plan,1, 54.99 ,$54.99,Sara Smith
ORD60294,2024-10-21,Widget B,6,"19,99",$119.94,Maria Iqbal
ORD18414,"Jul 18, 2024",Widget A,7, 11.25 ,63,Noor Khan
ORD81390,2024-11-17,Widget B,9,21,"197,90",Noor Patel
ORD24174,08-11-2024,Service Plan,3,$54.99, 164.97 ,John Chen
ORD60135,02/12/2024,Service Plan,4,$54.99, 219.96 ,Ayesha Lee
ORD97446,16/08/2024,Gadget Y,7,5,$38.43,Zain Smith
ORD24986,21/08/2024,Gadget X,1,7.70, 7.70 ,Omar Khan
ORD49954,18-Aug-24,Gadget Y,6, 5.49 ,32,Noor Khan
ORD31980,30-Sep-24,Widget B,1,19.99,19.99,Hassan Ahmed
ORD53799,09-16-2024,Gadget Y,5,5,$27.45,Ali Khan  
ORD58964,05-Jun-24,Service Plan,1,"49,99", 49.99 ,Maria Smith
ORD87445,03-Nov-24,Service Plan,4,"49,99",$189.96,Zain Iqbal
ORD14023,06-20-2024,Widget A,8,11.25, 90.00 ,Maria Garcia
ORD57128,2024-09-29,Service Plan,6, 54.99 ,"329,93",Fatima Smith
ORD73216,"Oct 11, 2024",Service Plan,5,49,249,Omar Hussain
ORD52929,19/07/2024,Service Plan,1,"49,99",49,Maria Chen
ORD76341,15-Oct-24,Widget A,6, 12.50 ,75.00,Ali Smith
ORD91119,14-Jun-24,Gadget Y,8,$6.04,48.31,Fatima Smith
ORD66571,09-22-2024,GADGET X,3, 6.30 , 18.90 ,Sara Hussain
ORD10494,24-Oct-24,Widget A,4,$13.75,52.25,Ali Khan
ORD66202,12-30-2024,Widget B,8, 17.99 , 143.93 ,John Garcia
ORD70661,07-10-2024,Gadget X,10,6.30,$63.00,Hassan Chen
ORD97554,25-Aug-24,Widget A,3,"13,75",41.25,Omar Reyes
ORD70715,26-Dec-24,Widget A,4,11,54,Sara Smith
ORD85134,"Jul 06, 2024",Widget B, 1 ,"19,99","19,99",Fatima Khan
ORD65876,11-Jun-24,Gadget Y, 10 , 5.49 , 54.90 ,Sara Smith
ORD20467,"Sep 11, 2024",Widget A,5,"11,25",$53.44,Noor Patel
ORD81631,2024-07-21,Gadget X,4,7.00,28.00,Ayesha Patel
ORD89544,"Jul 08, 2024",Gadget Y, 5 ,$6.04,30,Zain Chen
ORD38280,09-22-2024,Widget A,6,13.75,$82.50,John Reyes
ORD54318,"Jun 25, 2024",Gadget Y,4,$5.49,"21,96",Noor Lee
ORD94614,07-19-2024,Widget A, 4 ,12, 52.50 ,Noor Ahmed
ORD96531,"Nov 13, 2024",Service Plan,5,"49,99",$249.95,Sara Iqbal
ORD64936,2024-08-09,Gadget Y,1,5,"5,49",Fatima Garcia
ORD47753,"Nov 25, 2024",Gadget Y,9,$5.49,"49,41",Sara Hussain
ORD96062,10-14-2024,GADGET Y,4,$6.04, 24.16 ,Hassan Patel
ORD89989,"Sep 17, 2024",Service Plan,6,$49.99, 359.93 ,Omar Patel
ORD43633,2024-11-18,Widget B,9,$19.99,"179,91",Hassan Chen
ORD96923,06-15-2024,Widget B,6,"19,99",119,Zain Chen
ORD42451,"Jul 24, 2024",Gadget X,2,7,15,Omar Reyes
ORD79909,2024-09-13,Service Plan,7,$54.99, 461.91 ,Hassan Lee
ORD63970,"Oct 04, 2024",Gadget Y,3,5,$16.47,Ayesha Smith
ORD10862,27-Sep-24,Gadget X,7,"6,30",35,Fatima Garcia
ORD89166,2024-09-14,Widget A,10,12.50, 118.75 ,Ayesha Khan
