order_id,date,product,qty,unit_price,line_total,customer_name
ORD10005,2024-07-20,Service Plan,9,44.99,404.0,Maria Lee
ORD10033,2024-11-03,Widget A,8,12.5,100.0,Zain Patel
ORD10047,2024-12-10,Widget A,3,12.5,37.5,Ali Iqbal
ORD10056,2024-06-07,Gadget X,7,7.0,49.0,Ayesha Iqbal
ORD10067,2024-11-08,Widget B,7,19.99,139.93,Sara Garcia
ORD10076,2024-10-01,Widget B,3,19.99,59.97,Noor Reyes
ORD10086,2024-12-31,Gadget Y,10,604.0,6040.0,Zain Patel
ORD10088,2024-06-16,Service Plan,6,4999.0,29994.0,John Chen
ORD10093,2024-11-19,Widget B,1,19.99,19.99,Sara Smith
ORD10101,2024-09-26,Gadget Y,2,549.0,1098.0,Zain Hussain
ORD10108,2024-12-22,Widget A,2,12.5,25.0,John Smith
ORD10110,2024-08-25,Gadget Y,9,5.49,49.41,Ali Lee
ORD10117,2024-06-02,Gadget X,4,7.0,28.0,Omar Iqbal
ORD10119,2024-06-20,Widget A,6,1250.0,7500.0,Ali Chen
ORD10122,2024-11-06,Service Plan,8,49.0,392.0,Ali Garcia
ORD10125,2024-08-22,Gadget X,1,6.3,6.3,Ali Smith
ORD10142,2024-07-25,Gadget Y,2,5.0,10.0,Sara Iqbal
ORD10153,2024-02-11,Gadget Y,7,6.04,42.28,Omar Chen
ORD10153,2024-05-07,Widget A,6,12.5,75.0,Hassan Hussain
ORD10159,2024-06-15,Widget B,3,19.99,59.97,Omar Smith
ORD10161,2024-08-17,Service Plan,9,4999.0,44991.0,Hassan Khan
ORD10183,2024-06-28,Service Plan,2,44.0,88.0,Sara Lee
ORD10186,2024-11-22,Service Plan,9,4499.0,40491.0,Noor Hussain
ORD10190,2024-08-28,Gadget X,9,700.0,6300.0,John Garcia
ORD10207,2024-06-11,Service Plan,8,49.99,399.92,Zain Reyes
ORD10214,2024-12-10,Gadget Y,2,5.49,10.98,John Garcia
ORD10220,2024-08-15,Widget A,2,12.5,25.0,Ali Patel
ORD10234,2024-11-05,Widget B,6,19.0,114.0,Ayesha Chen
ORD10238,2024-11-06,Widget B,5,19.99,99.95,Sara Garcia
