 order_id ,date,Product,qty,unit_price,TOTAL ,customer_name
ORD78983,24-Jul-24,Widget A,2,"13,75", 27.50 ,John Garcia
ORD77326,31-Jul-24,Widget B,10,17,"179,91",Hassan Reyes
ORD88598,29-Dec-24,Gadget Y,4,"5,49","21,96",Ali Patel
ORD67864,15/10/2024,GADGET Y,5, 5.49 ,$27.45,Zain Ahmed
ORD54095,2024-12-02,Service Plan,3, 49.99 ,"119,98",Omar Smith
ORD20947,"Sep 20, 2024",Gadget Y, 6 ,$5.49,"32,94",Ayesha Lee
ORD15313,06-21-2024,Gadget X,7,7,51.45,John Iqbal
ORD37610,27/08/2024,Service Plan,3,"44,99",161,John Ahmed
ORD65489,"Dec 27, 2024",Gadget X,7,7,53,Ayesha Lee
ORD61384,"Jun 30, 2024",Gadget Y,2, 5.49 ,$13.18,Noor Smith
ORD63303,10-Jul-24,Widget B,5,$19.99,"99,95",Sara Hussain
ORD37027,10-06-2024,Service Plan,5,54.99,$274.95,Ayesha Lee
ORD25174,2024-06-14,Gadget Y,9,"6,04","54,35",Ali Lee
ORD23083,18-Sep-24,Gadget X,5,6.30,31,Sara Chen
ORD82643,12-19-2024,Gadget Y,7,5,"38,43",Omar Khan
ORD36568,"Nov 17, 2024",Widget B,5,19,99,Sara Patel
ORD69870,"Jul 28, 2024",Gadget Y,7,5, 38.43 ,Ali Iqbal
ORD15803,04/10/2024,Widget B,8,21,175,Omar Ahmed
ORD66686,2024-09-14,Gadget X,8,$7.00,56.00,Hassan Lee
ORD43446,12-26-2024,Gadget X,8, 7.00 ,56,Omar Garcia
ORD65402,"Jun 25, 2024",Gadget X,9, 7.00 , 66.15 ,Ayesha Lee
ORD74370,"Jun 04, 2024",Widget B, 4 ,19,$79.96,Ayesha Khan
ORD88562,16/10/2024,Widget B,9,"21,99", 237.48 ,Noor Hussain
ORD18325,11-Jun-24,Widget B,1,17, 17.99 ,Omar Lee
ORD13704,2024-08-06,Widget A,5,12,75.00,Ayesha Khan
