 order_id ,date,Product,qty,unit_price,TOTAL ,customer_name
ORD49881,03-Aug-24,Gadget Y,7,"5,49",38.43,Maria Patel
ORD53937,06/07/2024,Gadget Y,10,5.49,54.90,Zain Garcia
ORD54761,22/11/2024,Widget B,3, 19.99 ,62.97,Maria Hussain
ORD92182,2024-10-08,Service Plan,5,$49.99,$249.95,Noor Garcia
ORD50165,19-Sep-24,Gadget X,4,7,$22.40,Zain Khan
ORD19285,16/08/2024,Widget B,4,$21.99,$87.96,Ali Chen
ORD45975,2024-09-24,Widget B,2,19,39.98,Fatima Garcia
ORD52882,23-Jul-24,Widget B,9,$17.99,$153.82,Omar Iqbal
ORD61531,28-Oct-24,Service Plan,3,$44.99, 134.97 ,Maria Chen
ORD73034,10-20-2024,Widget A,10,$12.50,118.75,Maria Khan
ORD46832,"Dec 18, 2024",Gadget Y,1,$5.49,5,Omar Hussain  
ORD34030,11/08/2024,Widget B,1,$19.99,"18,99",Maria Lee
ORD56840,06-04-2024,Service Plan,5,44,224,Fatima Iqbal
ORD22581,2024-12-13,Gadget Y,10,$6.04,$60.39,Omar Khan
ORD57852,04-Nov-24,Widget B,9,"19,99",$170.91,Maria Khan
ORD71572,06/08/2024,Widget B,2, 19.99 , 39.98 ,Sara Chen
ORD98040,10-14-2024,Widget A,3,12.50,$37.50,Hassan Hussain
ORD78934,"Jun 26, 2024",Service Plan,1,44,44,Omar Reyes
ORD18262,2024-10-13,Gadget X,2,6, 15.12 ,John Khan
ORD91964,10-30-2024,Service Plan,7, 54.99 ,"384,92",Omar Khan
ORD49956,"Dec 28, 2024",Widget A,2,$13.75,27.50,Hassan Ahmed
ORD82479,2024-11-15,Gadget Y,2,5.49,10,Sara Reyes
ORD17955,12-Sep-24,Widget A,2,"12,50", 26.25 ,John Lee
ORD10117,2024-06-02,Gadget X,4,7.00,"28,00",Omar Iqbal
ORD89903,13-Oct-24,Gadget Y,8,"4,94",$39.53,Ali Patel
ORD16558,11/12/2024,Service Plan,8,49,"399,92",Hassan Khan
ORD10284,10-Aug-24,Service Plan,4,44.99, 143.97 ,Ayesha Iqbal
ORD28842,30/08/2024,Service Plan,9,54.99,494,Omar Lee
ORD12866,11-06-2024,Gadget Y,3,"5,49",16,Ali Patel
ORD64154,18/11/2024,Service Plan,10,49.99, 599.88 ,Sara Hussain
ORD88348,"Jul 22, 2024",Gadget X,10,7.00, 56.00 ,Ayesha Iqbal
ORD50646,23/08/2024,Widget B,7,$19.99,139,Ayesha Reyes
ORD49348,09/10/2024,Gadget Y,7, 5.49 , 38.43 ,Sara Reyes
ORD91337,"Nov 01, 2024",Gadget X,1,7.00,7.00,Sara Iqbal
ORD72698,"Oct 16, 2024",Service Plan,4,"49,99",199.96,Sara Patel
ORD74589,06-15-2024,Widget B,3,19,59.97,Sara Smith  
ORD19420,20-Aug-24,Service Plan,5,"54,99",274,Fatima Hussain
ORD89835,"Sep 27, 2024",Gadget Y,5,"5,49","26,08",Ayesha Lee
ORD58730,15-Jun-24,Gadget X,3,7, 21.00 ,Maria Patel
ORD47720,2024-11-02,Widget A,1,$11.25,11,Maria Khan
ORD13180,2024-12-25,Widget B,3,19.99, 59.97 ,Fatima Hussain
ORD39619,13-Sep-24,Gadget X,1, 7.00 , 7.00 ,Zain Garcia
ORD99582,"Nov 22, 2024",Service Plan,8,"49,99","419,92",Fatima Lee
ORD87118,"Nov 09, 2024",Service Plan,7,"49,99",$349.93,Fatima Khan
ORD47748,"Jun 02, 2024",Gadget X,4, 7.00 ,$29.40,Omar Garcia
ORD35075,21/09/2024,Gadget Y,4, 5.49 ,21,Maria Hussain
ORD55357,10-14-2024,Service Plan,5,49, 249.95 ,Fatima Lee
ORD53533,12-14-2024,Service Plan,3,49.99,$142.47,Ayesha Hussain  
ORD81774,2024-10-13,Widget B,7,"19,99",$139.93,Maria Reyes
ORD84038,"Dec 13, 2024",Gadget Y,9,"6,04", 54.35 ,John Chen
ORD64608,"Dec 29, 2024",Widget A,2, 12.50 ,$25.00,Hassan Hussain
ORD50745,03/06/2024,Gadget X,10,"7,00",$70.00,Zain Reyes
ORD73155,17-Sep-24,WIDGET A,3,$13.75,41.25,Omar Garcia
ORD70924,11-20-2024,Widget A,2,12.50,25,Ayesha Smith
ORD59984,2024-07-25,Gadget Y,3,"5,49",16,Zain Smith
ORD73531,2024-08-21,Service Plan,9, 54.99 ,494.90,Maria Iqbal
ORD86802,02/10/2024,Gadget X,8,"7,00",56,Ali Lee
ORD46108,12-09-2024,Widget B,1, 17.99 ,17,Ayesha Patel
ORD34290,09-08-2024,Gadget Y,5,5,27.45,Ayesha Iqbal
ORD47493,10-11-2024,Gadget X,4, 7.00 ,28,Sara Smith  
ORD85394,13/10/2024,Gadget X,9,$7.00,"63,00",Noor Lee
ORD15515,18-Sep-24,Widget A,9,12,"112,50",John Iqbal
ORD76799,2024-07-14,Widget B,2, 19.99 , 39.98 ,Ali Khan
ORD26117,2024-12-10,GADGET X,10,6,63,Zain Iqbal
ORD85612,"Nov 06, 2024",Service Plan,4,49.99,199,Noor Ahmed
ORD33104,2024-12-23,Widget A,5,12,$62.50,Noor Hussain
ORD45906,10-22-2024,Gadget Y,6, 5.49 ,"32,94",Noor Chen
ORD69335,24/09/2024,Widget B,2,19.99,$39.98,Zain Smith
ORD98671,06-22-2024,WIDGET B,5,"19,99",119,Hassan Chen
ORD85314,11-13-2024,Gadget X,7,$7.70,"53,90",Ayesha Ahmed
ORD47065,2024-09-25,Service Plan,6,$49.99,284.94,Ali Chen
ORD46209,"Nov 10, 2024",Gadget X,1,$7.70,7,Omar Hussain
ORD76288,2024-11-12,Service Plan,5, 54.99 ,274,Ayesha Hussain
ORD53877,2024-07-07,Service Plan,10,$49.99,499.90,Ali Hussain
ORD61300,08/08/2024,Widget A,3,"13,75", 41.25 ,Ali Lee
ORD31375,10-25-2024,Widget B,10,19,199.90,Ali Reyes
ORD87870,2024-12-27,Widget A,6,12, 75.00 ,Noor Iqbal
ORD91949,08-22-2024,WIDGET B,7,$19.99,146.93,Ayesha Ahmed
ORD19495,26/11/2024,Gadget Y,3, 5.49 ,16,Noor Garcia
ORD63291,2024-12-26,Gadget X,3,$7.00,21,Ayesha Reyes
ORD62232,10-07-2024,Widget B,8,$19.99,159.92,Zain Smith
ORD14673,08/11/2024,Service Plan,2,"49,99",99.98,Zain Reyes
ORD64540,2024-08-05,Widget A,2,$11.25, 22.50 ,Ayesha Hussain
ORD39863,2024-08-11,Gadget Y,3,5.49, 16.47 ,Hassan Smith
ORD65240,08/08/2024,Service Plan,8,54.99,$439.91,Hassan Hussain
ORD52991,"Aug 20, 2024",Gadget Y,2, 6.04 ,12,Fatima Patel
ORD46825,25/06/2024,Widget A,6,"11,25",67.50,Hassan Smith
ORD13870,2024-08-25,Service Plan,10,"49,99",499,Noor Smith
ORD48724,"Dec 24, 2024",Service Plan,4,49,$199.96,Maria Iqbal
ORD19756,09-07-2024,WIDGET B,8,"19,99","151,92",John Chen
ORD14511,06-27-2024,Widget A, 5 ,11,$56.25,Maria Iqbal
ORD52430,2024-07-05,Gadget X,2,7,14.00,Zain Lee
ORD15060,02/06/2024,Gadget Y,5,5.49,27,Noor Ahmed
ORD26009,29/08/2024,Service Plan,6, 44.99 , 269.95 ,Maria Chen
ORD55434,"Oct 26, 2024",Gadget Y,1,5.49,5,Maria Khan
ORD25012,2024-12-23,GADGET X,3,6, 15.12 ,Ali Patel
ORD96359,2024-12-10,Service Plan,6,49.99,299,Maria Garcia
ORD28107,10-05-2024,GADGET X,1,7, 7.00 ,Omar Patel
ORD55467,"Sep 08, 2024",Gadget X,3,7,21,Noor Hussain
ORD61904,"Dec 25, 2024",Widget A,2,$13.75,$22.00,Fatima Lee
ORD84233,02-Jun-24,Widget B,7,21,146,Hassan Chen
ORD64255,21-Sep-24,Widget A,9, 12.50 ,112,Fatima Iqbal
ORD93016,14/11/2024,Gadget Y,3,5,16.47,Sara Iqbal
ORD54342,14-Jun-24,WIDGET A,4,12.50,50.00,Maria Lee
ORD51706,26-Oct-24,Gadget Y,1,"5,49",5,Omar Khan
ORD38980,"Jul 29, 2024",Gadget X,1,7,"7,70",Ali Iqbal
ORD54965,2024-10-14,Service Plan,3,44.99, 134.97 ,Zain Chen
ORD86596,06-20-2024,GADGET Y,7,5.49,"38,43",Fatima Reyes
ORD47927,02-Jun-24,Gadget X,8,7,$56.00,Fatima Garcia
ORD68547,"Sep 15, 2024",Service Plan,1,49.99, 49.99 ,Ayesha Hussain
ORD73886,2024-09-01,Widget A,4,11.25,45.00,Ayesha Khan  
ORD16713,23/12/2024,Service Plan,7,44.99,251.95,Fatima Chen
ORD55533,2024-06-06,Gadget Y,10,5,54,John Ahmed
ORD87903,"Jul 26, 2024",Widget A,7, 13.75 ,96,Fatima Khan
ORD65915,16-Jul-24,Service Plan,6,$54.99,329,Ayesha Garcia
ORD97938,2024-10-26,Widget B,3, 21.99 ,"65,97",Maria Garcia
ORD13322,08/12/2024,Gadget X,5, 7.70 ,38,Zain Chen
