order_id,order_date,customer_name,email,country,sku,qty,unit_price,channel
1001,2025-07-31,John  Doe,john.doe@example.com,usa,SKU-001,2,$19.99,Website
1002,31/07/2025,Jane Smith,jane.Smith@example.com,USA,SKU-002,1,12.5,Marketplace
1003,07-30-2025,Ahmed Hassan,ahmed@@example.com,Pakistan,SKU-001,3,$19,Website
1004,2025/07/29,Emily Chen, emily.chen@example.com ,pakistan,SKU-003,,$5.00,Website
1005,07/28/2025,Michael O'Brien,michael.obrien@ho-exampde.com,PAKISTAN,SKU-002,2,"$12,50",Marketplace
1006,2025-07-27,Ali Raza,ali.raza@example.com,UAE,SKU-004,1,7.5,Website
1007,2025-07-27,John  Doe,john.doe@example.com,USA,SKU-001,2,$19.99,Website
1007,2025-07-27,John  Doe,john.doe@example.com,USA,SKU-001,2,$19.99,Website
1008,2025-07-26,  Sara Khan  ,sara.khan@example,United States,SKU-003,5,$5,Marketplace
1009,2025-07-25,Faizan Ali,faizan.ali@example.com,pak,SKU-005,1,$3.25,Website
1010,2025-07-24,Nida Abbas,nida.abbas@example.com,Pakistan,SKU-001,one,$19.99,Website
1011,2025-07-23,Anil Kumar,anil.kumar@example.com,India,SKU-006,4,15,Marketplace
1012,2025-07-22,Sonia Patel,sonia.patel@example.com,india,SKU-002,3,12.50,Website
1013,2025-07-21,Usman Tariq,usman.tariq@example.com,PK,SKU-003,2,$5.00,Website
1014,2025-07-20,John Doe,john.doe@example.com,USA,SKU-007,0,$0,Website
1015,2025-07-19,Jane Smith,jane.smith@example.com,USA,SKU-001,2,19.99,Marketplace
1016,2025-07-18,Ayesha Noor,ayesha.noor@example.com,Pakistan,SKU-002,1,12.5,Website
1017,2025-07-17,Omar  Siddiqui,omar.siddiqui@example.com,United States,SKU-004,2,7.50,Website
1018,2025-07-16,Laiba Zafar,laiba.zafar@example.com,United Arab Emirates,SKU-004,1,7.5,Marketplace
1019,2025-13-01,Hassan Ali,hassan.ali@example.com,Pakistan,SKU-003,2,5,Website
